Nr,Query,Question,Answer
1,SELECT ?country WHERE {?country a dbo:Country .} LIMIT 5,Question: Provide the names of 5 countries from the database.,"Answer: The countries are Cabeça do Cachorro, Cabo Verde, Cabo de Gata, Cabo de Santa Maria (Faro), and Caboloan."
2,SELECT ?person WHERE {?person a dbo:Person .} LIMIT 5,Question: Please provide me with the names of 5 people from the dataset.,"Answer: Here are the names of 5 individuals from the dataset: CaMia Hopson, Cab Calloway, Cab Kaye, Cabal of Naples, and Cabassous."
3,SELECT DISTINCT ?lat ?lng where{ <http://dbpedia.org/resource/Bristol> <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat; <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng.},What are the latitude and longitude coordinates of Bristol?,The latitude of Bristol is 51.45 and the longitude is -2.58333.
4,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> SELECT ?person ?name WHERE { ?person rdf:type foaf:Person . ?person foaf:name ?name . } LIMIT 5,"Question: Retrieve the names of 5 persons from the dataset who are classified as ""Person"" in the FOAF vocabulary.","Answer: The dataset contains the following 5 persons with their names: CaMia Hopson, CaMia Jackson, Cab Calloway, Cab Kaye, and Cabbrini Foncette."
5,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-Schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http;//dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> Prefix dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> SELECT * where { ?city foaf:homepage ?homepage . ?country rdf:type <http://dbpedia.org/ontology/Country> . ?country <http://dbpedia.org/ontology/capital> ?city . } LIMIT 5,Question: What are the names and homepages of the capitals of five countries?,"Answer: The names and homepages of the capitals of five countries are Cairo (homepage: cairo.gov.eg), Calçoene (homepage: calcoene.ap.gov.br), Cape Town (homepage: docs.google.com/document/d/1KkAe-T6ez8bTGFaNGXUHHpY9bEKqvLPkb3iXtR121gs/edit), Capua (homepage: comune.capua.ce.it), and All-Palestine Protectorate (homepage: No homepage specified)."
6,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#> PREFIX foaf:<http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?title ?page ?lat ?long where {?link rdfs:label ?title; foaf:isPrimaryTopicOf ?page; geo:lat ?lat; geo:long ?long . FILTER (regex(?title, 'West Sussex', 'i')) } LIMIT 2","Which two locations in West Sussex have a title, page link, latitude, and longitude associated with them in the given RDF dataset?","Answer: The locations Beacon Hill and Rogate in West Sussex have the titles ""Beacon Hill, West Sussex"" and ""Rogate (West Sussex)"" respectively. The corresponding page links are ""http://en.wikipedia.org/wiki/Beacon_Hill,_West_Sussex"" and ""http://en.wikipedia.org/wiki/Rogate"". Their latitude and longitude coordinates are 50.9589, -0.851983 and 51.0081, -0.85068 respectively."
7,SELECT ?property ?hasValue ?isValueOf where { { <http://dbpedia.org/resource/%C3%88ve_Curie> ?property ?hasValue }   UNION   { ?isValueOf ?property <http://dbpedia.org/resource/%C3%88ve_Curie> } } LIMIT 3,"Question: Can you provide me with three properties, their corresponding values, and the entities they are associated with, related to Ève Curie?","Answer: As an example, the question without any filters would provide three results. The properties, values, and associated entities related to Ève Curie are: ""label"" with the value ""إيف كوري"" [dbo:label -> ""إيف كوري""], ""label"" with the value ""Ève Curie"" [dbo:label -> ""Ève Curie""], and ""label"" with the value ""Ève Curie"" [?isValueOf -> dbo:label]."
8,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> SELECT ?state ?population where {   ?state rdf:type <http://dbpedia.org/class/yago/State108168978>.   ?state dbpedia2:populationEstimate ?population   FILTER(xsd:Integer(?population) > '10000000'^^xsd:Integer).    OPTIONAL { ?state dbpedia2:yearEnd ?yearEnd }   FILTER (!bound(?yearEnd))  },"Question: What are the states with a population estimate of more than 10,000,000?","Answer: The states with a population estimate of more than 10,000,000 are the European Union, with a population of 446,828,803."
9,"SELECT  ?relation ?relationLabel ?object ?objectLabel where { <http://dbpedia.org/resource/Eyes_Wide_Shut> ?relation ?object.?relation <http://www.w3.org/2000/01/rdf-schema#label> ?relationLabel . ?object <http://www.w3.org/2000/01/rdf-schema#label> ?objectLabel . FILTER (langMatches(lang(?relationLabel), 'EN')) . FILTER (langMatches(lang(?objectLabel), 'EN')) . } LIMIT 2","Question: ""Which relations and corresponding labels are associated with the entity 'Eyes Wide Shut' in DBpedia?""","Answer: ""Two relations and their labels associated with the movie 'Eyes Wide Shut' are 'wikiPageWikiLink' and 'Cahiers du Cinéma'. The first relation is a link from a Wikipage to another Wikipage, and it is linked to the object 'Cahiers du Cinéma' in DBpedia."""
10,SELECT DISTINCT count( ?person ) where {   ?person  skos:broader ?f . },Question: How many distinct individuals have a broader concept according to the SKOS hierarchy?,"Answer: There are 4,524,888 individuals who have a broader concept according to the SKOS hierarchy."
11,select distinct ?Concept where {[] a ?Concept} LIMIT 10,Question: Please provide 10 distinct concepts from the dataset.,"Answer: The concepts include QuadMap, QuadMapFormat, QuadStorage, array-of-QuadMapFormat, QuadMapValue, array-of-QuadMapColumn, QuadMapColumn, array-of-QuadMapATable, QuadMapATable, and QuadMapFText."
12,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> SELECT * where {   :United_Reformed_Churches_in_North_America ?p ?o. } Limit 2,"Question: What are the two properties and their corresponding values for the resource ""United_Reformed_Churches_in_North_America""?","Answer: The resource ""United_Reformed_Churches_in_North_America"" has two properties: ""rdf:type"" with the value ""owl:Thing"" and ""rdf:type"" with the value ""dbpedia2:WikicatCalvinistDenominationsEstablishedInThe20thCentury""."
13,PREFIX owl: <http://www.w3.org/2002/07/owl#>  PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>  PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  PREFIX foaf: <http://xmlns.com/foaf/0.1/>  PREFIX dc: <http://purl.org/dc/elements/1.1/>  PREFIX : <http://dbpedia.org/resource/>  PREFIX dbpedia2: <http://dbpedia.org/property/>  PREFIX dbpedia: <http://dbpedia.org/>  PREFIX skos: <http://www.w3.org/2004/02/skos/core#>  SELECT * from <http://dbpedia3.8> where { ?subject <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Car_manufacturers>. } LIMIT 7,Which car manufacturers are listed in the <http://dbpedia3.8> dataset and their corresponding information?,The following car manufacturers are listed in the <http://dbpedia3.8> dataset and their corresponding information: [Answer Limit: 7]
14,PREFIX owl: <http://www.w3.org/2002/07/owl#>  PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>  PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  PREFIX foaf: <http://xmlns.com/foaf/0.1/>  PREFIX dc: <http://purl.org/dc/elements/1.1/>  PREFIX : <http://dbpedia.org/resource/>  PREFIX dbpedia2: <http://dbpedia.org/property/>  PREFIX dbpedia: <http://dbpedia.org/>  PREFIX skos: <http://www.w3.org/2004/02/skos/core#>  SELECT *  where { ?subject <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Car_manufacturers>. } LIMIT 7,"Question: List the car manufacturers that are listed in the DBpedia category ""Car manufacturers"".","Answer: The category ""Car manufacturers"" in DBpedia lists various car manufacturers. Here are seven examples: List of current automobile marques, List of current automotive parts suppliers, MPM Motors, Matford, Willowvale Motor Industries, Chenard-Walcker, and Mobilize (marque)."
15,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbowl: <http://dbpedia.org/ontology/> PREFIX dc2: <http://purl.org/dc/terms/> PREFIX cat: <http://dbpedia.org/resource/Category:>  SELECT ?person where {     ?person a foaf:Person .    ?person dc2:subject cat:American_film_actors .    }  limit 4,Question: Can you give me the names of 4 American film actors from DBpedia?,"Answer: The names of 4 American film actors from DBpedia are Rudy Reyes (activist), Sara Ramirez, Bex Taylor-Klaus, and Billy Stritch."
16,SELECT distinct ?city where  { [] <http://dbpedia.org/ontology/city> ?city } LIMIT 5 OFFSET 500,Question: Which distinct cities are included in the database?,"Answer: The cities included in the database are Moreno Valley, California; Queen Creek, Arizona; Mesa, Arizona; Waddell, Arizona; and Prescott Valley, Arizona."
17,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> SELECT * where { ?subject <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:National_Basketball_Association_teams>. } Limit 10,"Question: ""List 10 National Basketball Association teams.""","Answer: ""The National Basketball Association teams are the San Antonio Spurs, Boston Celtics, Denver Nuggets, Detroit Pistons, Houston Rockets, Utah Jazz, Memphis Grizzlies, Sacramento Kings, Cleveland Cavaliers, and Golden State Warriors."""
18,PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> SELECT ?subject ?population  where { ?subject rdf:type <http://dbpedia.org/ontology/City>. ?subject <http://dbpedia.org/ontology/populationUrban> ?population. FILTER (xsd:integer(?population) > 2000000) } ORDER BY DESC(xsd:integer(?population)) LIMIT 5,"Question: Which cities have a population greater than 2,000,000, and what is their population?","Answer: The top 5 cities with the highest population are Greater Tokyo Area with a population of 38,050,000, Jakarta with 34,540,000, Manila with 24,922,000, Chongqing with 22,251,500, and Beijing with 21,893,095."
19,PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>   SELECT Count(distinct ?film_title) where { ?film_title rdf:type <http://dbpedia.org/ontology/Film> . ?film_title rdfs:comment ?film_abstract  },Question: How many distinct film titles have an associated comment in the DBpedia dataset?,"Answer: The number of distinct film titles that have an associated comment in the DBpedia dataset is 162,133."
20,"select distinct ?property ?label where { [] a <http://dbpedia.org/ontology/Mountain>; ?property [].OPTIONAL{ ?property rdfs:label ?label. } FILTER (langMatches(lang(?label),'en'))}  limit 10",Question: Find the distinct properties and their labels for mountains in DBpedia. Show the first 10 results.,"Answer: The distinct properties for mountains in DBpedia are: name, Wikipage page ID, Wikipage revision ID, link from a Wikipage to another Wikipage, link from a Wikipage to an external page, September humidity, September percent of sun, September sun, state type, and subdivision1 type."
21,SELECT DISTINCT ?s ?label where {?s rdfs:label ?label . FILTER (lang(?label) = 'en'). ?label bif:contains 'Obama' . ?s dcterms:subject ?sub  } LIMIT 5,Question: Can you provide me with the names and labels of distinct subjects related to Obama in English language?,"Answer: Sure! Here are the names and labels of some distinct subjects related to Obama in English:

1. Presidency of Barack Obama - This subject is related to Barack Obama's presidency.
2. Allegations of Obama spying on Trump - This subject deals with allegations of Obama spying on Trump.
3. Arctic policy of Barack Obama - This subject pertains to Barack Obama's policy regarding the Arctic.
4. Obama Day - This subject refers to a day dedicated to Obama.
5. Crush on Obama - This subject revolves around the phenomenon of having a crush on Obama."
22,SELECT DISTINCT ?resource ?label where {?resource rdfs:label ?label . FILTER (lang(?label) = 'en'). ?label bif:contains 'Ferrar' . ?resource dcterms:subject ?sub  } LIMIT 4,"Question: Can you give me the distinct resources and their labels in English that contain the term ""Ferrar"" and are associated with a subject? ","Answer: Sure! Here are four examples of resources and their corresponding labels: ""Beatrice Ferrar,"" ""Bill Ferrar,"" ""Leslie Ferrar,"" and ""Ada Ferrar""."
